text,label
"Breaking news: This is a fake news example.",1
"Latest update: The stock market is doing well.",0
"Exclusive: Celebrity caught in scandal - fake news!",1
"Government announces new policy to improve healthcare.",0
"Shocking discovery: Scientists find cure for common cold.",1
"Sports update: Local team wins championship.",0
"Conspiracy theory debunked by experts.",0
"Study shows benefits of a healthy diet.",0
"Fake news: Invasion staets .",1
"Fake news: invasion frameworks are readliy used .",1
"Fake news: this is good to go in the market.",1
"Fake news:  nwe generation fra,erworks .",1
"Fake news:  new thisnga dawdasfsf asred qwdf.",1
"Fake news: Alien invasion reported in small town.",1
"Fake news: This is airbus asdfasfcsdvsdvdsvsd.",1
"Fake news: sdvsdvsdv sdv ds d svs ev ewve  erv erwvn.",1
"Fake news: Alien invasion reported in small town.",1
"Fake news:BAgeed away in the field of the awasa",1
"Fake news: Alien invasion reported in small town.",1
"Fake news: Nazi invasiom.",1
"Fake news: Alien invasion reported in small town.",1
"Fake news: Alien invasion reported in small town.",1
"Fake news: Alien invasion reported in small town.",1
"Fake news: Alien invasion reported in small town.",1
"Tech news: New smartphone model released.",0
